user_id,
623927460,Shopping
545655630,ATM Transaction
444374830,Balance Check
440364750,ATM Transaction
367178080, Nothing
583840190,Balance Check
236811630,Shopping
342079640,ATM Transaction
428227390,Bill Payments
556292010,Balance Check
474775020,Balance Check
21667670, Nothing
637769270,Balance Check
641293920, Nothing
352101910, Nothing
281844340,Asset Product
564489620,Cash Transaction
417428690,ATM Transaction
635012450,Shopping
509699890, Nothing
8320680,Bill Payments
376343880,Asset Product
328117850, Nothing
531124180, Nothing
600693890, Nothing
223635160,Shopping
556537220,Asset Product
563035600,Balance Check
501724300, Nothing
387905860, Nothing
362105030, Nothing
62566820,Shopping
568231600,ATM Transaction
36350320,Fund Transfer
216364580, Nothing
24793150,ATM Transaction
520813680, Nothing
431716500,Bill Payments
394625100, Nothing
403188100,Asset Product
471724220,Bill Payments
439839930, Nothing
354642560,Standing Instructions
529734390,Shopping
602668780,Balance Check
52036650,Asset Product
530745370,Cash Transaction
308627980,Standing Instructions
417245370,Bill Payments
629008480,ATM Transaction
213508050, Nothing
340268360,Bill Payments
258111880,Bill Payments
278130510,Shopping
244825490,ATM Transaction
374502700, Nothing
571280800, Nothing
647146590,Shopping
221876340, Nothing
369795570,Balance Check
585443840,ATM Transaction
341516690,Standing Instructions
1896090,POS Payments
546970940,Shopping
616005080, Nothing
264239740,ATM Transaction
341706300,Standing Instructions
599708840, Nothing
519381360,Balance Check
639624380,Shopping
481182520,Shopping
5004090,Cash Transaction
356419220,Balance Check
593900250,ATM Transaction
487980960, Nothing
433351590, Nothing
270208810,ATM Transaction
379320060,Balance Check
434309090,POS Payments
594918040,ATM Transaction
295661740, Nothing
368211050,Bill Payments
340116840,Fund Transfer
594313900, Nothing
511545690,Bill Payments
406636190, Nothing
511052540,Fund Transfer
542744410,Shopping
367097910, Nothing
553116620, Nothing
508556080,POS Payments
603920420, Nothing
595678870,Balance Check
515494960,Asset Product
532628320,Balance Check
45418200,Balance Check
4334760, Nothing
631152290, Nothing
415039680,POS Payments
653780480, Nothing
367780350, Nothing
648814870, Nothing
634678200, Nothing
275517790,Standing Instructions
305840430,Shopping
342143230,Bill Payments
639872970, Nothing
295683930,Balance Check
339926060,Balance Check
58039700, Nothing
505012130, Nothing
487400140, Nothing
615477810,Shopping
544458250,Balance Check
481828330,Shopping
247473070,ATM Transaction
93046830,Shopping
344471800,Shopping
631295390,Shopping
416159080, Nothing
386448370, Nothing
424811040,Bill Payments
523996050,POS Payments
614814350,ATM Transaction
392066810, Nothing
642652860, Nothing
372164120, Nothing
619798630,Shopping
324202100,Standing Instructions
21469780,Asset Product
559358190, Nothing
504621220, Nothing
570874560,ATM Transaction
594272360, Nothing
630306300,Asset Product
22995580,Fund Transfer
384036120,Balance Check
355158710, Nothing
393330510,Asset Product
1345370, Nothing
13035480,Bill Payments
635799460, Nothing
433661330,ATM Transaction
341479960, Nothing
613728470,POS Payments
437881580,Shopping
250852070, Nothing
527185010,Fund Transfer
382358080,Shopping
647914030,Asset Product
390409910,ATM Transaction
601877870,Bill Payments
60803480, Nothing
472636530,ATM Transaction
400857240,Bill Payments
650456280,Balance Check
551654070, Nothing
320781050, Nothing
507321010,ATM Transaction
208081910,ATM Transaction
618826810,Shopping
428225860, Nothing
316198620,Bill Payments
579245540, Nothing
379038950,Shopping
629857840,ATM Transaction
583289720,Shopping
341501060,Balance Check
539489070,Shopping
593436010, Nothing
578947010, Nothing
540627770, Nothing
273761200,ATM Transaction
219069430,Shopping
623886130,Balance Check
323735990,Balance Check
269647200, Nothing
342127460,Balance Check
211337530,Shopping
20366070,Fund Transfer
411471900,ATM Transaction
646041010, Nothing
376471950,Shopping
595766780,Shopping
422932980, Nothing
484770500,Fund Transfer
311009730, Nothing
328033430,Shopping
247617830,Shopping
645757260,Shopping
487276750,Shopping
251733990,Bill Payments
503135070, Nothing
69695640,ATM Transaction
48519360, Nothing
308636300,Balance Check
340949840, Nothing
429997130,ATM Transaction
41255360, Nothing
603998260,Shopping
554526440,Balance Check
51470890,ATM Transaction
639906350,Shopping
599941680,ATM Transaction
405110200,Cash Transaction
354217240,Shopping
478374550, Nothing
554567230, Nothing
624774000,Bill Payments
529406670,Fund Transfer
548272550,Asset Product
509945400,Balance Check
341333010,Shopping
584901360, Nothing
